AllergenTypeID,allergens
331,"gluten, lupin, nuts, peanuts, soybeans"
332,"gluten, milk, molkeneiweißisolat, soybeans"
333,"eggs, gluten, milk, mustard, nuts, sesame-seeds, soybeans"
334,"cultured-nonfat-milk, milk"
335,"celery, chicken"
336,"fish, gluten, sesame-seeds, soybeans"
337,"celery, gluten, milk, soybeans, sulphites"
338,"celery, eggs, milk"
339,"gluten, molluscs"
340,"avena, gluten, puede-contener-trazas-de-frutos-de-cascara-y-o-de-soja, soybeans"
341,"abricot, citron-vert, mandarine, orange"
342,"lait, milk"
343,"gluten, lupin, nuts, soybeans"
344,"celery, gluten, sesame-seeds, soybeans"
345,"nuts, peanuts, select-roasted-peanuts, soybeans"
346,"fish, nuts"
347,"gluten, suitable-for-vegans"
348,"gluten, milk, orange"
349,"crustaceans, eggs, fish, gluten, milk, molluscs, mustard, soybeans"
350,"eggs, lupin, nuts"
351,"banana, gluten, nuts, sulphites, sulphur-dioxide-and-sulphites"
352,"gluten, oatbran"
