FoodID,food_name
635,beef australian imported grass fed loin top sirloin cap off steak roast boneless separable lean only raw
636,beef australian imported grass fed rib ribeye steak roast lip on boneless separable lean and fat raw
637,beef australian imported grass fed rib ribeye steak roast lip on boneless separable lean only raw
638,beef australian imported grass fed round bottom round steak roast boneless separable lean and fat raw
639,beef australian imported grass fed round bottom round steak roast boneless separable lean only raw
640,beef australian imported grass fed round top round cap off steak roast boneless separable lean and fat raw
641,beef australian imported grass fed round top round cap off steak roast boneless separable lean only raw
642,beef australian imported grass fed seam fat raw
643,beef australian imported wagyu external fat aust marble score 4 5 raw
644,beef australian imported wagyu external fat aust marble score 9 raw
645,beef australian imported wagyu loin tenderloin steak roast boneless separable lean and fat aust marble score 4 5 raw
646,beef australian imported wagyu loin tenderloin steak roast boneless separable lean and fat aust marble score 9 raw
647,beef australian imported wagyu loin tenderloin steak roast boneless separable lean only aust marble score 4 5 raw
648,beef australian imported wagyu loin tenderloin steak roast boneless separable lean only aust marble score 9 raw
649,beef australian imported wagyu loin top loin steak roast boneless separable lean and fat aust marble score 4 5 raw
650,beef australian imported wagyu loin top loin steak roast boneless separable lean only aust marble score 4 5 raw
651,beef australian imported wagyu loin top loin steak roast boneless separable lean only aust marble score 9 raw
652,beef australian imported wagyu loin top loin steak roast separable lean and fat aust marble score 9 raw
653,beef australian imported wagyu rib small end rib steak roast boneless separable lean and fat aust marble score 4 5 raw
654,beef australian imported wagyu rib small end rib steak roast boneless separable lean and fat aust marble score 9 raw
655,beef australian imported wagyu rib small end rib steak roast boneless separable lean only aust marble score 4 5 raw
656,beef australian imported wagyu rib small end rib steak roast boneless separable lean only aust marble score 9 raw
657,beef australian imported wagyu seam fat aust marble score 4 5 raw
658,beef australian imported wagyu seam fat aust marble score 9 raw
659,beef bologna reduced sodium
660,beef bottom sirloin tri tip roast separable lean and fat trimmed to 0 fat all grades cooked roasted
661,beef bottom sirloin tri tip roast separable lean and fat trimmed to 0 fat all grades raw
662,beef bottom sirloin tri tip roast separable lean and fat trimmed to 0 fat choice cooked roasted
663,beef bottom sirloin tri tip roast separable lean and fat trimmed to 0 fat choice raw
664,beef bottom sirloin tri tip roast separable lean and fat trimmed to 0 fat select cooked roasted
665,beef bottom sirloin tri tip roast separable lean and fat trimmed to 0 fat select raw
666,beef bottom sirloin tri tip roast separable lean only trimmed to 0 fat all grades raw
667,beef bottom sirloin tri tip roast separable lean only trimmed to 0 fat choice cooked roasted
668,beef bottom sirloin tri tip roast separable lean only trimmed to 0 fat choice raw
669,beef bottom sirloin tri tip roast separable lean only trimmed to 0 fat select cooked roasted
670,beef bottom sirloin tri tip roast separable lean only trimmed to 0 fat select raw
671,beef brisket flat half boneless separable lean only trimmed to 0 fat all grades raw
672,beef brisket flat half boneless separable lean and fat trimmed to 0 fat all grades raw
673,beef brisket flat half boneless separable lean and fat trimmed to 0 fat choice raw
674,beef brisket flat half boneless separable lean and fat trimmed to 0 fat select raw
675,beef brisket flat half boneless separable lean only trimmed to 0 fat choice raw
676,beef brisket flat half boneless separable lean only trimmed to 0 fat select raw
677,beef brisket flat half separable lean and fat trimmed to 0 fat all grades cooked braised
678,beef brisket flat half separable lean and fat trimmed to 0 fat choice cooked braised
679,beef brisket flat half separable lean and fat trimmed to 0 fat select cooked braised
680,beef brisket flat half separable lean and fat trimmed to 1 8 fat all grades cooked braised
681,beef brisket flat half separable lean and fat trimmed to 1 8 fat all grades raw
682,beef brisket flat half separable lean and fat trimmed to 1 8 fat choice cooked braised
683,beef brisket flat half separable lean and fat trimmed to 1 8 fat choice raw
